Month,diet: (Worldwide)
2004-01,100
2004-02,73
2004-03,66
2004-04,68
2004-05,72
2004-06,64
2004-07,60
2004-08,57
2004-09,56
2004-10,51
2004-11,49
2004-12,41
2005-01,64
2005-02,54
2005-03,55
2005-04,56
2005-05,57
2005-06,53
2005-07,54
2005-08,52
2005-09,47
2005-10,46
2005-11,42
2005-12,38
2006-01,62
2006-02,52
2006-03,50
2006-04,50
2006-05,50
2006-06,52
2006-07,52
2006-08,49
2006-09,46
2006-10,43
2006-11,43
2006-12,36
2007-01,57
2007-02,50
2007-03,50
2007-04,52
2007-05,49
2007-06,49
2007-07,48
2007-08,43
2007-09,45
2007-10,42
2007-11,39
2007-12,35
2008-01,53
2008-02,46
2008-03,46
2008-04,48
2008-05,44
2008-06,42
2008-07,44
2008-08,45
2008-09,41
2008-10,41
2008-11,39
2008-12,35
2009-01,52
2009-02,46
2009-03,48
2009-04,47
2009-05,48
2009-06,46
2009-07,45
2009-08,46
2009-09,45
2009-10,44
2009-11,42
2009-12,39
2010-01,58
2010-02,49
2010-03,51
2010-04,51
2010-05,51
2010-06,47
2010-07,49
2010-08,48
2010-09,48
2010-10,45
2010-11,42
2010-12,37
2011-01,58
2011-02,50
2011-03,53
2011-04,55
2011-05,56
2011-06,53
2011-07,52
2011-08,50
2011-09,50
2011-10,50
2011-11,49
2011-12,44
2012-01,65
2012-02,57
2012-03,55
2012-04,57
2012-05,55
2012-06,53
2012-07,54
2012-08,54
2012-09,50
2012-10,45
2012-11,44
2012-12,42
2013-01,62
2013-02,61
2013-03,58
2013-04,59
2013-05,56
2013-06,55
2013-07,54
2013-08,52
2013-09,50
2013-10,47
2013-11,44
2013-12,43
2014-01,61
2014-02,53
2014-03,54
2014-04,53
2014-05,52
2014-06,49
2014-07,48
2014-08,47
2014-09,46
2014-10,43
2014-11,41
2014-12,39
2015-01,54
2015-02,48
2015-03,51
2015-04,50
2015-05,47
2015-06,48
2015-07,45
2015-08,45
2015-09,43
2015-10,42
2015-11,39
2015-12,37
2016-01,51
2016-02,48
2016-03,47
2016-04,48
2016-05,46
2016-06,44
2016-07,44
2016-08,45
2016-09,42
2016-10,39
2016-11,38
2016-12,36
2017-01,52
2017-02,56
2017-03,51
2017-04,49
2017-05,49
2017-06,47
2017-07,51
2017-08,46
2017-09,45
2017-10,44
2017-11,42
2017-12,39
2018-01,58
2018-02,52
2018-03,56
2018-04,55
2018-05,54
2018-06,51
2018-07,54
2018-08,50
2018-09,47
2018-10,46
2018-11,42
2018-12,41
2019-01,63
2019-02,52
2019-03,52
2019-04,51
2019-05,48
2019-06,46
2019-07,48
2019-08,46
2019-09,44
2019-10,42
2019-11,42
2019-12,36
2020-01,51
2020-02,48
2020-03,35
2020-04,36
2020-05,44
2020-06,43
2020-07,43
2020-08,41
2020-09,41
2020-10,36
2020-11,34
2020-12,30
2021-01,43
2021-02,37
2021-03,38
2021-04,36
2021-05,35
2021-06,35
2021-07,33
2021-08,33
2021-09,33
2021-10,31
2021-11,29
2021-12,28
2022-01,35
2022-02,34
2022-03,33
2022-04,32
2022-05,32
